TIME_KEY,YEAR,MONTH,DAY,WEEK_OF_YEAR,QUARTER
20190605,2019,6,5,23,2
20190606,2019,6,6,23,2
20190607,2019,6,7,23,2
20190608,2019,6,8,23,2
20190609,2019,6,9,23,2
20190610,2019,6,10,24,2
20190611,2019,6,11,24,2
20190612,2019,6,12,24,2
20190613,2019,6,13,24,2
20190614,2019,6,14,24,2
20190615,2019,6,15,24,2
20190616,2019,6,16,24,2
20190617,2019,6,17,25,2
20190618,2019,6,18,25,2
20190619,2019,6,19,25,2
20190620,2019,6,20,25,2
20190621,2019,6,21,25,2
20190622,2019,6,22,25,2
20190623,2019,6,23,25,2
20190624,2019,6,24,26,2
20190625,2019,6,25,26,2
20190626,2019,6,26,26,2
20190627,2019,6,27,26,2
20190628,2019,6,28,26,2
20190629,2019,6,29,26,2
20190630,2019,6,30,26,2
20190701,2019,7,1,27,3
20190702,2019,7,2,27,3
20190703,2019,7,3,27,3
20190704,2019,7,4,27,3
20190705,2019,7,5,27,3
20190706,2019,7,6,27,3
20190707,2019,7,7,27,3
20190708,2019,7,8,28,3
20190709,2019,7,9,28,3
20190710,2019,7,10,28,3
20190711,2019,7,11,28,3
20190712,2019,7,12,28,3
20190713,2019,7,13,28,3
20190714,2019,7,14,28,3
20190715,2019,7,15,29,3
20190716,2019,7,16,29,3
20190717,2019,7,17,29,3
20190718,2019,7,18,29,3
20190719,2019,7,19,29,3
20190720,2019,7,20,29,3
20190721,2019,7,21,29,3
20190722,2019,7,22,30,3
20190723,2019,7,23,30,3
20190724,2019,7,24,30,3
20190725,2019,7,25,30,3
20190726,2019,7,26,30,3
20190727,2019,7,27,30,3
20190728,2019,7,28,30,3
20190729,2019,7,29,31,3
20190730,2019,7,30,31,3
20190731,2019,7,31,31,3
20190801,2019,8,1,31,3
20190802,2019,8,2,31,3
20190803,2019,8,3,31,3
20190804,2019,8,4,31,3
20190805,2019,8,5,32,3
20190806,2019,8,6,32,3
20190807,2019,8,7,32,3
20190808,2019,8,8,32,3
20190809,2019,8,9,32,3
20190810,2019,8,10,32,3
20190811,2019,8,11,32,3
20190812,2019,8,12,33,3
20190813,2019,8,13,33,3
20190814,2019,8,14,33,3
20190815,2019,8,15,33,3
20190816,2019,8,16,33,3
20190817,2019,8,17,33,3
20190818,2019,8,18,33,3
20190819,2019,8,19,34,3
20190820,2019,8,20,34,3
20190821,2019,8,21,34,3
20190822,2019,8,22,34,3
20190823,2019,8,23,34,3
20190824,2019,8,24,34,3
20190825,2019,8,25,34,3
20190826,2019,8,26,35,3
20190827,2019,8,27,35,3
20190828,2019,8,28,35,3
20190829,2019,8,29,35,3
20190830,2019,8,30,35,3
20190831,2019,8,31,35,3
20190901,2019,9,1,35,3
20190902,2019,9,2,36,3
20190903,2019,9,3,36,3
20190904,2019,9,4,36,3
20190905,2019,9,5,36,3
20190906,2019,9,6,36,3
20190907,2019,9,7,36,3
20190908,2019,9,8,36,3
20190909,2019,9,9,37,3
20190910,2019,9,10,37,3
20190911,2019,9,11,37,3
20190912,2019,9,12,37,3
20190913,2019,9,13,37,3
20190914,2019,9,14,37,3
20190915,2019,9,15,37,3
20190916,2019,9,16,38,3
20190917,2019,9,17,38,3
20190918,2019,9,18,38,3
20190919,2019,9,19,38,3
20190920,2019,9,20,38,3
20190921,2019,9,21,38,3
20190922,2019,9,22,38,3
20190923,2019,9,23,39,3
20190924,2019,9,24,39,3
20190925,2019,9,25,39,3
20190926,2019,9,26,39,3
20190927,2019,9,27,39,3
20190928,2019,9,28,39,3
20190929,2019,9,29,39,3
20190930,2019,9,30,40,3
20191001,2019,10,1,40,4
20191002,2019,10,2,40,4
20191003,2019,10,3,40,4
20191004,2019,10,4,40,4
20191005,2019,10,5,40,4
20191006,2019,10,6,40,4
20191007,2019,10,7,41,4
20191008,2019,10,8,41,4
20191009,2019,10,9,41,4
20191010,2019,10,10,41,4
20191011,2019,10,11,41,4
20191012,2019,10,12,41,4
20191013,2019,10,13,41,4
20191014,2019,10,14,42,4
20191015,2019,10,15,42,4
20191016,2019,10,16,42,4
20191017,2019,10,17,42,4
20191018,2019,10,18,42,4
20191019,2019,10,19,42,4
20191020,2019,10,20,42,4
20191021,2019,10,21,43,4
20191022,2019,10,22,43,4
20191023,2019,10,23,43,4
20191024,2019,10,24,43,4
20191025,2019,10,25,43,4
20191026,2019,10,26,43,4
20191027,2019,10,27,43,4
20191028,2019,10,28,44,4
20191029,2019,10,29,44,4
20191030,2019,10,30,44,4
20191031,2019,10,31,44,4
20191101,2019,11,1,44,4
20191102,2019,11,2,44,4
20191103,2019,11,3,44,4
20191104,2019,11,4,45,4
20191105,2019,11,5,45,4
